Index-1,Index-2,$,Brent
0.03922,0.039199,0.119695,0.611854
0.039163,0.03922,0.119883,0.601743
0.039091,0.039163,0.119946,0.608483
0.039148,0.039091,0.119946,0.609181
0.0391,0.039148,0.119758,0.6086
0.039114,0.0391,0.119632,0.605927
0.039242,0.039114,0.119632,0.612435
0.03933,0.039242,0.119695,0.603138
0.039281,0.03933,0.119663,0.605462
0.03928,0.039281,0.119695,0.589541
0.039298,0.03928,0.11982,0.590354
0.03932,0.039298,0.119915,0.584195
0.039422,0.03932,0.12004,0.593027
0.039452,0.039422,0.120166,0.612667
0.03948,0.039452,0.120229,0.600349
0.039623,0.03948,0.120229,0.602789
0.039705,0.039623,0.120323,0.610924
0.039876,0.039705,0.120919,0.604765
0.03987,0.039876,0.121139,0.609064
0.039931,0.03987,0.121107,0.603021
0.040046,0.039931,0.121264,0.6043
0.040056,0.040046,0.121547,0.591052
0.040131,0.040056,0.121861,0.608716
0.040091,0.040131,0.122112,0.613016
0.040143,0.040091,0.121767,0.608251
0.040278,0.040143,0.121861,0.620337
0.04025,0.040278,0.122238,0.629866
0.040048,0.04025,0.122426,0.624985
0.040103,0.040048,0.122426,0.625683
0.040151,0.040103,0.122865,0.63068
0.040177,0.040151,0.123054,0.641023
0.040254,0.040177,0.122551,0.644625
0.040366,0.040254,0.122363,0.646368
0.040605,0.040366,0.122332,0.644741
0.041053,0.040605,0.122175,0.64079
0.041287,0.041053,0.122206,0.654155
0.041271,0.041287,0.122206,0.655782
0.04117,0.041271,0.122175,0.660779
0.041136,0.04117,0.122426,0.68588
0.04119,0.041136,0.122614,0.67914
0.041281,0.04119,0.122646,0.672865
0.041135,0.041281,0.122928,0.652179
0.041058,0.041135,0.123368,0.650784
0.041094,0.041058,0.123587,0.64846
0.040921,0.041094,0.124655,0.662406
0.040678,0.040921,0.124874,0.646368
0.0407,0.040678,0.126852,0.648344
0.040759,0.0407,0.126318,0.657873
0.040764,0.040759,0.126067,0.661708
0.041014,0.040764,0.125471,0.65369
0.041077,0.041014,0.125785,0.664381
0.041171,0.041077,0.125816,0.672981
0.041205,0.041171,0.126161,0.67147
0.041257,0.041205,0.126224,0.676351
0.041575,0.041257,0.125973,0.672167
0.041599,0.041575,0.12591,0.672865
0.041535,0.041599,0.12613,0.666473
0.041623,0.041535,0.126507,0.678443
0.041674,0.041623,0.126444,0.679256
0.041818,0.041674,0.127449,0.704474
0.04205,0.041818,0.127731,0.69878
0.042079,0.04205,0.127292,0.703544
0.042162,0.042079,0.127197,0.706798
0.042256,0.042162,0.127386,0.702847
0.042267,0.042256,0.12726,0.722371
0.042285,0.042267,0.127637,0.722255
0.042255,0.042285,0.127825,0.74631
0.042274,0.042255,0.127762,0.740616
0.042281,0.042274,0.127888,0.737246
0.042232,0.042281,0.128171,0.739454
0.042207,0.042232,0.128673,0.739919
0.04225,0.042207,0.129834,0.733992
0.042306,0.04225,0.129395,0.721441
0.042333,0.042306,0.128736,0.718884
0.042428,0.042333,0.128579,0.728995
0.042456,0.042428,0.128516,0.722022
0.042703,0.042456,0.128484,0.727135
0.042974,0.042703,0.129363,0.73527
0.043518,0.042974,0.129552,0.742359
0.043608,0.043518,0.129269,0.737594
0.043896,0.043608,0.129552,0.733876
0.043846,0.043896,0.129834,0.728646
0.043916,0.043846,0.130431,0.739686
0.04375,0.043916,0.130713,0.739338
0.043743,0.04375,0.131404,0.72516
0.043818,0.043743,0.131906,0.730854
0.04385,0.043818,0.131937,0.736084
0.043869,0.04385,0.132063,0.735967
0.044039,0.043869,0.132189,0.750843
